NO,LICENCE NUMBER,NAME OF PHARMACY,TYPE,LOCATION,MMDA,REGION
25,PC/GR/R/0032G,A-BLACKS PHARMACY,Retail,"STORE 1&2, ABLEKUMA CURVE POKUASE-ANYAA RD, -
ABLEKUMA",GA SOUTH,Greater Accra
26,PC/GR/WR/0016J,A-SARPS PHARMACY (ANNEX),Wholesale/Retail,"H/NO. C55, SE7 NEAR PALACE FLOWER POT EAST AIRPORT
HILLS ACCRA",AMA,Greater Accra
27,PC/AS/WR/00115,A. A. B. PHARMA & TRAD. CO. LT,Wholesale/Retail,"H/NO. EJ 1, EJISU",EJISU-JUABENG,Ashanti
28,PC/CR/WR/0092B,A. B. CHEMIST (GH) LTD.,Wholesale/Retail,PLOT 79 COMMERCIAL ROAD WINNEBA WINNEBA,EFFUTU,Central
29,PC/BA/WR/00040,A. K. GLOBAL PHARMACEUTICALS,LWTDholesale/Retail,"H/NO. PLOT 15 MAIN STREET OPPOSITE MARKET
NKRANKWANTA",DORMA WEST,Brong Ahafo
30,PC/GR/WR/00002,A. M. E. PHARMACY LTD.,Wholesale/Retail,"H/NO. B 669A/6,  - ABOSSEY OKAI ACCRA",AMA,Greater Accra
31,PC/GR/R/0048P,A. M. GAMBO PHARMACY LTD,Retail,K-0650-7914 LEGON HILLS DRIVE - SANTOE,SHAI-OSUDOKU,Greater Accra
32,PC/GR/R/00416,A. Q. PHARMACY  LTD,Retail,GOIL SERVICE STATION - CIRCLE-CAPRICE ROAD ACCRA,AMA,Greater Accra
33,PC/UWR/WR/00003,A. RAZMAK PHARMACY,Wholesale/Retail,UNN. STORE WAPAANI ROAD MARKET SQUARE WA,WA,Upper West
34,PC/WR/R/00047,A.A.A. MENS PHARMACY,Retail,PLOT NO. 4 MARKET CIRCLE MARKET CIRCLE TAKORADI,SEKONDI-TAKORADI,Western
35,PC/CR/R/0380H,A&E PHARMACY LIMITED ANNEX,Retail,"STORE 3 & 4 CAPE COAST ROAD NEAR SANDFORD CLINIC
MANKESSIM",MFANTSEMAN,Central
36,PC/AS/R/0347J,A2 PHARMACY,Retail,"H/NO. PLOT 1, BLK 6 CPC-KROFROM STREET ODUMASI
KROFROM",KMA,Ashanti
37,PC/GR/R/0094J,AA-DANHARIS PHARMACY LIMITE,Retail,"H/NO. GCA/0001 EVANS KWADWO STREET ANYAA
ABLEKUMA N.I.C",GA CENTRAL,Greater Accra
38,PC/GR/R/0183F,AA-DANHARIS PHARMACY LTD.,Retail,ANYAA-ABLEKUMA - AGAPE HIGH STREET AGAPE,GA SOUTH,Greater Accra
39,PC/GR/WR/00203,ABANKS CHEMIST,Wholesale/Retail,H/NO. 24 MANGO TREE AVENUE ASYLUM DOWN ACCRA,AMA,Greater Accra
40,PC/GR/R/0011B,ABBA CHEMISTS LTD,Retail,"H/NO. R1 THORN VALLEY ROAD SAKUMONO SAKUMONO
ESTATE",TMA,Greater Accra
41,PC/GR/R/00843,ABBYPHARMA LTD.,Retail,"H/NO. 255/2 NR. ELECTORAL COMMISSION MADINA NEW
ROAD MADINA",ADENTAN,Greater Accra
43,PC/GR/R/00210,ABED PHARMACY LIMITED,Retail,H/NO. 55 KOJO SARDINE LA ACCRA,LEDZOKUKU-KROWOR,Greater Accra
44,PC/WR/WR/00016,ABESAM  PHARMACY,Wholesale/Retail,H/NO. 1 JOKO ROAD - BIBIANI,BIBIANI-ANHWIASO BEKWAI,Western
45,PC/GR/R/00003,ABGRAD PHARMACY,Retail,STORE NO. C/B14 - COMMUNITY 8 MARKET TEMA,TMA,Greater Accra
46,PC/CR/R/0533L,ABI-A PHARMACY LTD,Retail,H/NO. 916 MARKET ROAD - KASOA,AWUTU SENYA EAST,Central
47,PC/WR/WR/0050H,ABIGIPHARMA LTD,Wholesale/Retail,"H/NO. PT 44 NEAR SAMRII PHARMACY RACE COURSE
TAKORADI",TMA,Greater Accra
48,PC/AS/R/0143J,ABIPII PHARMACY,Retail,H/NO. AK 9 - NEAR PALACE AKYAWKROM,EJISU-JUABENG,Ashanti
49,PC/CR/R/0151G,ABIRIC PHARMACY,Retail,"PLOT 588 BLOCK C ESTATE JUNCTION, NEAR PRINCE DERICK
INT. SCH,  KASOA",AWUTU SENYA,Central
50,PC/GR/R/0421K,ABIS CHEMIST LTD,Retail,H/NO. 9 MAMAH ADJELEY ROAD - MARTEY TSURU,LA NKWANTANANG-MADINA,Greater Accra
51,PC/GR/WR/0075G,ABLAZE PHARMACY,Wholesale/Retail,"H/NO.33, ADENYENASEE ROAD, NEW WEIJA, ACCRA",GA SOUTH,Greater Accra
52,PC/WR/WR/0036P,ABOAGYE PHARMACEUTICALS LI,WITEhDolesale/Retail,H/NO. C16/3 - AYEBOESO SEFWI WIAWSO,SEFWI WIAWSO,Western
53,PC/GR/WR/00310,ABOKOBI PHARMACY,Wholesale/Retail,H/NO. 0600 - ABOKOBI ACCRA,GA EAST,Greater Accra
54,PC/WR/WR/0003D,ABOSO PHARMACY LIMITED,Wholesale/Retail,"H/NO. 191, NO. 9 ZONGO LANE STR, NR LORRY STATION,
ABOSO",PRESTEA HUNI VALLEY,Western
55,PC/AS/R/0183M,ABSAK PHARMACY LTD,Retail,"PLOT A, BLOCK 30 - BREMAN KUMASI",KMA,Ashanti
56,PC/GR/R/0196C,ABSOLUTE HEALTH,Retail,UNN. HOUSE ACCRA NSAWAM ROAD POKUASE POKUASE,GA WEST,Greater Accra
57,PC/WR/WR/00012,ABUAKWA PHARMACY,Wholesale/Retail,H/NO 22/7 LIBERATION RD TAKORADI TAKORADI,SEKONDI-TAKORADI,Western
58,PC/AS/R/0174K,ABYAK PHARMA LIMITED,Retail,"PLOT 9, BLOCK 1 ADJACENT SIKA FM KROFROM KUMASI",KMA,Ashanti
59,PC/AS/W/00054,ABYAK PHARMA LTD,Wholesale,ASOKWA - OPPOSITE AMASS SECONDARY SCHOOL KUMASI,KMA,Ashanti
60,PC/CR/WR/0147E,ACCESS PHARMACEUTICALS,Wholesale/Retail,"H/NO. 244/4, BAWJIASE ROAD KAEMEBRE KASOA",AWUTU SENYA,Central
61,PC/VR/WR/0569K,ACCESS-B PHARMACY LTD,Wholesale/Retail,H/NO. 26 ASONFU  AVENUE DOME HO,HO,Volta
62,PC/GR/R/00005,ACCRA CHEMISTS LTD.,Retail,H/NO. C 12/2 HALL AVENUE ADABRAKA ACCRA,AMA,Greater Accra
63,PC/GR/R/0157M,ACCRA MEDICAL CENTRE PHARM,HCYospital Pharmac,H/NO. 11 ANGOLA CLOSE RINGWAY ESTATE OSU,AMA,Greater Accra
64,PC/WR/R/0082K,ACCURATE PHARMACY,Retail,PLOT NO. 10/26 SHARA BAR ESSIKADO TAKORADI,SEKONDI-TAKORADI,Western
65,PC/GR/R/0061D,ACHEAMPONG PHARMACY,Retail,"PLOT NO. 81, ACCRA-KASOA ROAD WEIJA WEIJA",AMA,Greater Accra
66,PC/AS/R/0072B,ACHEBAY PHARMACY,Retail,"PLT 9, BLOCK D  MEDOMA KUMASI",KMA,Ashanti
67,PC/NR/R/0262P,ACHEBO PHARMACY LTD,Retail,H/NO. BIL 485 FK2 PUFFIN STREET BIEPIELA TAMALE,TAMALE,Northern
68,PC/GR/WR/0001K,ACTIKID PHARMACY,Wholesale/Retail,"UNN. STORE TUBA TOLL BOOTH KASOA AMANFROM UNN.
STORE TUBA TOLL BOOTH KASOA AMANFROM AMANFROM
KASOA",GA SOUTH,Greater Accra
69,PC/GR/R/0047L,ACTIKID PHARMACY,Retail,H/NO. A18/595 OBLOGO STREET SIPONPON DANSOMAN,GA CENTRAL,Greater Accra
70,PC/GR/R/0208F,ACTS PHARMACY,Retail,"NO. 1 ESTHER AFRIFA SHOP, MENSAH GUINEA HIGH STR.
ACCRA",AMA,Greater Accra
71,PC/GR/R/0160L,ACTS PHARMACY LTD,Retail,H/NO. H11/12 COFFEE STREET  DAR ES-SALEM TESHIE,LEDZOKUKU-KROWOR,Greater Accra
72,PC/GR/R/0100M,ADALITS PHARMACY,Retail,H/NO. R15 VIENNA CITY COMMUNITY 8 TEMA,TMA,Greater Accra
73,PC/GR/R/00964,ADALITS PHARMACY LTD.,Retail,"H/NO. A60 CHECK POINT SPOT ASHAIMAN LEBANON ZONE 2
ASHIAMAN",TMA,Greater Accra
74,PC/UER/R/0250N,ADAM A PLUS PHARMACY LTD,Retail,NAAGAMNI FUEL STATION - KUMBOSIGO BOLGATANGA,BOLGATANGA,Upper East
75,PC/AS/R/0353K,ADAMS PHARMACY,Retail,H/NO. AN 192 - - ANWIANKWANTA,AMANSIE CENTRAL,Ashanti
76,PC/AS/WR/0203E,ADAMS PHARMACY,Wholesale/Retail,"H/NO. K.O. 165,  AHENFIE STR. KOKOFU KOKOFU",BEKWAI,Ashanti
77,PC/GR/R/0060N,ADANE CHEMIST LIMITED,Retail,H/NO. CU 230 ROYAL STREET BETA JUNCTION ABEHENEASE,GA SOUTH,Greater Accra
78,PC/AS/WR/0596L,ADANSIMAN PHARMACY,Wholesale/Retail,"GCA 0196, ADIEMBRA-ADANSI",ADANSI NORTH,Ashanti
79,PC/AS/WR/0064A,ADARF (ANIMAH) HEALTHCARE L,DWholesale/Retail,"H/NO. EJ 16 BLOCK D, EJISU",EJISU-JUABENG,Ashanti
80,PC/UER/R/0251N,ADASTRAF PHARMACY LTD,Retail,"H/NO. 65 BUGATE PLAZA ROAD OLD JUNCTION,
TINDONSOBLIGO BOLGATANGA",BOLGATANGA,Upper East
81,PC/UER/R/0002P,ADASTRAF PHARMACY LTD,Retail,"H/NO. TG-123 HOSPITAL BAARE ROAD OPPOSITE HOAPITAL
SEOK TONGO",NABDAM,Upper East
82,PC/GR/R/00752,ADAZARA PHARMACY,Retail,H/NO. A 54/18 ASUABA STREET - DANSOMAN,AMA,Greater Accra
83,PC/GR/R/0183C,ADD PHARMA (GH) LTD,Retail,"H/NO. 13, INDEPENDENCE AVE, FREETOWN EMPORIUM
MOVENPICK HOTEL ACCRA",AMA,Greater Accra
84,PC/GR/R/0424K,ADD PHARMA GH LIMITED,Retail,GL-070-4578 LAKPA STREET - TSE ADDO,LA NKWANTANANG-MADINA,Greater Accra
85,PC/AS/W/0082N,ADD PHARMA GH LTD,Wholesale,50B ADDO KUFFOUR AVENUE - KUMASI,KMA,Ashanti
86,PC/GR/R/0139K,ADD PHARMA GH LTD,Retail,H/NO. 16/16 WINNEBA ROAD DARKUMAN ACCRA,GA SOUTH,Greater Accra
87,PC/GR/R/0198L,ADD PHARMA GH. LTD,Retail,BUKUM BOXING ARENA MUTUARY ROAD - KORLE GONNO,GA CENTRAL,Greater Accra
88,PC/GR/W/0200L,ADD PHARMA GH. LTD,Wholesale,JP PLAZA DADEBAN NORTH INDUSTRIAL AREA DARKUMAN,AMA,Greater Accra
89,PC/GR/R/0443L,ADD PHARMA GH. LTD,Retail,GT-045-0253 TACHIE TAWIAH STREET COMMUNITY 7 TEMA,TMA,Greater Accra
90,PC/GR/W/0011F,ADD PHARMA(GH) LTD.,Wholesale,"DAE 1/7, BAATSONA, BATSONA COMM. 18 TEMA",TMA,Greater Accra
91,PC/AS/R/0552L,ADDBERRY PHARMACY LTD,Retail,"PLOT 2, BLOCK E ADJEI ADJEKUM ROAD - GYINYASE",KMA,Ashanti
92,PC/GR/R/0085M,ADDISON'S PHARMACY LIMITED,Retail,H/NO. 54 DEDE STREET - NORTH LABONE ESTATES,LA NKWANTANANG-MADINA,Greater Accra
93,PC/GR/R/0427K,ADDPHARMA GH. LIMITED,Retail,TOTAL SERICE STATION - PIG FARM ACCRA,GA CENTRAL,Greater Accra
94,PC/GR/R/0021F,ADDPHARMA GH. LTD.,Retail,"H/NO. B 549/8, QODESH CHURCH, DADEBEN RD, - KANESHIE-
ACCRA",AMA,Greater Accra
95,PC/GR/WR/00004,ADENTA PHARMACY LTD.,Wholesale/Retail,H/NO 039 - Adenta ADENTA,ADENTAN,Greater Accra
96,PC/GR/W/00051,ADEPA PHARMACEUTICALS LTD.,Wholesale,H/NO. OTB 159 KIMBERLEY AVENUE - ACCRA,AMA,Greater Accra
97,PC/GR/R/00192,ADEPA PHARMACEUTICALS LTD.,Retail,NO. 7 PATRICE LUMUMBA ROAD AIRPORT ACCRA,AMA,Greater Accra
100,PC/VR/W/0025J,ADEPHARMA LIMITED,Wholesale,"H/NO. 40 ACCRA-AFLAO ROAD, BREAD MARKET SOGAKOPE",SOUTH TONGU,Volta
101,PC/VR/R/0171J,ADEPHARMA LIMITED,Retail,"H/No 1 Opposite Sogakope District Hospital , Sogakope ACCRA
AFLAO ROAD SOGAKOPE SOGAKOPE",SOUTH TONGU,Volta
102,PC/VR/R/0145L,ADEPHARMA LTD,Retail,"H/NO. 3, AKATSI-TEDZEWU",AKATSI SOUTH,Volta
103,PC/GR/R/0208M,ADEPHARMA LTD,Retail,"PR/AA/034 TEMA-AFLAO ROAD PRAMPRAM JUNCTION
DAWHENYA",NINGO PRAMPRAM,Greater Accra
104,PC/AS/W/0140B,ADERIC CHEMIST LTD,Wholesale,H/NO. ME 97 MANHYIA EXTENSION KUMASI KUMASI,KMA,Ashanti
105,PC/AS/R/00002,ADFORD CHEMIST,Retail,"H/NO. PLOT 1, BLOCK 1 - ASAFO KUMASI",KMA,Ashanti
106,PC/GR/R/0133K,ADIMED PHARMACY LTD,Retail,H/NO C245 NEAR HILLA OIL KUBEKROM NO. 1 ASHAIMAN,KPONE KATAMANSO,Greater Accra
107,PC/AS/R/0110L,ADIYIAH PHARMACY,Retail,"PLOT 76,BLOCK II - NEAR ST. LOIUS TRAINING COLLRGE
MBROM",KMA,Ashanti
108,PC/AS/WR/00003,ADIYIAH PHARMACY LTD,Wholesale/Retail,PLOT 19 BLOCK DUNKIRK RAILWAYS ADUM KUMASI,KMA,Ashanti
109,PC/GR/R/0007C,ADKENS PHARMACY LTD,Retail,H/NO. Q21/871 1ST JUNCTION - TESHIE-NUNGUA,LEDZOKUKU-KROWOR,Greater Accra
110,PC/WR/WR/0098G,ADMAK PHARMACY,Wholesale/Retail,"H/NO. SA 1 STORE, NR GPRTU STN, BEKWAI, SAMREBOI",WASSA AMENFI WEST,Western
111,PC/GR/R/0210J,ADNAID PHARMACY,Retail,UNN. - OLD ASHONGMAN PURE WATER OLD ASHONGMAN,GA EAST,Greater Accra
112,PC/GR/R/0041E,ADNIAD PHARMACY,Retail,"UNN. HSE, P & T MAIN GATE STR, PANTANG HOSPITAL,
PANTANG",ADENTAN,Greater Accra
113,PC/GR/R/0196L,ADOMPEM CAMPANY LTD,Retail,KWASI OPPONG STREET - PILLAR 2 DOME,GA EAST,Greater Accra
114,PC/GR/R/0453L,ADPRIS CHEMIST LIMITED,Retail,"H/NO. AY/KU 063 OWUBORSER STREET NEAR METHODIST
CHURCH DORYUMU",SHAI-OSUDOKU,Greater Accra
115,PC/GR/R/00196,ADS PHARMACY,Retail,H/NO. B. 953/7 ORGLE ROAD KANESHIE ESTATES ACCRA,AMA,Greater Accra
116,PC/BA/WR/00017,ADUANABA PHARMACY LTD.,Wholesale/Retail,H/NO. A 1/3   NKORANZA,NKORANZA SOUTH,Brong Ahafo
117,PC/BA/WR/00031,ADUANABA PHARMACY LTD.,Wholesale/Retail,"OPPOSITE MIDWAY HOTEL STC STATION SERWAABA
KINTAMPO",KINTAMPO NORTH,Brong Ahafo
118,PC/AS/R/0061B,ADUDAIS PHARMACY,Retail,"H/NO. PLT 5, BLOCK B  KENYASE KUMASI",KMA,Ashanti
119,PC/AS/R/0063E,ADUFEL PHARMACY,Retail,"PLOT 190A, BLOCK B TIKROM STREET - TIKROM",EJISU-JUABENG,Ashanti
120,PC/AS/R/0107J,ADUMAX PHARMACY,Retail,STORE 1 - OPPOSITE SHELL FUEL STATION ABIJAN NKWANTA,BOSOMTWE,Ashanti
121,PC/AS/WR/0377H,ADUPAC CHEMISTS LTD,Wholesale/Retail,"PLOT 5A, BLOCK 174 LORRY STATION SAWUA PETEDUASE
STREET SAWUA",BOSOMTWE,Ashanti
122,PC/GR/R/0048J,ADUPEPS AND SONS PHARMACY,TRDetail,H/NO. NG/111 KINGSTOWN LANE NGLESHIE AMANFROM,GA SOUTH,Greater Accra
123,PC/GR/WR/00205,ADUSAL PHARMACY LTD,Wholesale/Retail,H/NO. B268/25 - DARKUMAN-ALAFIA ACCRA,AMA,Greater Accra
124,PC/AS/WR/0583L,AF HELLELUYAH PHARMACY LTD,Wholesale/Retail,"PLOT 5, BLOCK C, AFARI",ATWIMA NWABIAGYA,Ashanti
125,PC/GR/R/0491L,AFAD PHARMACY LIMITED,Retail,H/NO. 1 - HASSAN AD ADAM SNR SCC WEIJA,GA SOUTH,Greater Accra
126,PC/AS/R/0022M,AFBAN PHARMACY,Retail,H/NO. EA 32 APPIADU ROAD - EMENA,KMA,Ashanti
127,PC/WR/WR/0007P,AFDOC PHARMACY,Wholesale/Retail,STORE 2 MAIN ROAD - JAWAY WHARF,JOMORO,Western
128,PC/WR/WR/0372H,AFFDOC PHARMACY LTD,Wholesale/Retail,H/N0.  E/146 ASSIN HALF,JOMORO,Western
129,PC/AS/WR/0011N,AFRANCHO COMMUNITY PHARM,WCYh oLTleDsale/Retail,PLOT NO. 8 - HEALTH CENTRE AFRANCHO,KMA,Ashanti
130,PC/AS/R/0269J,AFRI-J PHARMACY,Retail,"PLOT 4, BLK B AYAWASE STREET AYAWASE NSUTA",SEKYERE CENTRAL,Ashanti
131,PC/AS/R/0190K,AFRICA CHEMIST COMPANY LIMI,ERDetail,STORE NO. 2 - SAWIAH JUNCTION SAWIAH,BOSOMTWE,Ashanti
132,PC/AS/WR/0154N,AFRICAN CHEMIST LIMITED,Wholesale/Retail,"FRIMPS OIL COMPLEX PEACE JUNCTION - DOMPOASE
JUNCTION",BOSOMTWE,Ashanti
133,PC/GR/R/00287,AFRIQ PHARM & H'SERV'S LTD.,Retail,H/NO.GDHS/001 - NEW TOWN TEMA,TMA,Greater Accra
134,PC/ER/WR/0336K,AFTER THAT PHARMACY LTD,Wholesale/Retail,"EN-001-2143 TRAIN STATION ROAD OPPOSITE RCC
KOFORIDUA",NEW-JUABENG,Eastern
135,PC/WR/R/0070F,AGAPE PHARMACY LTD.,Retail,H/NO. A12/64 OPP. MAIN STATION  AGONA NKWANTA,AHANTA WEST,Western
136,PC/GR/R/0224E,AGIBANS PHARMACY,Retail,"NSUO ANO TROTRO STATION, LAKESIDE EST. - - ASHALEY
BOTWE",GA EAST,Greater Accra
137,PC/CR/WR/0518L,AGIFEL PHARMACY LIMITED,Wholesale/Retail,"H/NO. 3, BLOCK 77, ABURA DUNKWA",ABURA-ASEBU-KWAMANKESE,Central
138,PC/CR/W/0062P,AGO PHARMACEUTICALS,Wholesale,BLOCK 19  STREET MAIN STREET EDUMADZE,MFANTSEMAN,Central
139,PC/AS/WR/00092,AGYA NTI PHARMACY LTD,Wholesale/Retail,H/NO. TN. 100 - TEPA TEPA,AHAFO-ANO NORTH,Ashanti
140,PC/AS/R/00054,AGYEBERT PHARMACY LTD,Retail,"PLOT 9, ADJACENT TRUE VINE HOTEL WEST NHYIEASO",KMA,Ashanti
141,PC/ER/WR/0380H,AGYEKEN PHARMACY LIMITED,Wholesale/Retail,ECG 108 MAIN STREET OPPOSITE NSUMIA PARK NSUMIA,NSAWAM ADOAGYIRI,Eastern
142,PC/GR/R/0169J,AHOTO PHARMACY LIMITED,Retail,L37 HONG KONG KWASHIBU STREET HONG KONG ACCRA,GA EAST,Greater Accra
143,PC/AS/R/0117L,AID INN PHARMACY,Retail,"PLOT 6, BLOCK D OFFINSO ROAD - MAAKRO",KMA,Ashanti
144,PC/AS/WR/0314H,AID INN PHARMACY,Wholesale/Retail,"PLOT 1, BLOCK E KENYASE-KOTEI ROAD NEW SITE KENYASE",KWABERE EAST,Ashanti
145,PC/AS/R/0125J,AID INN PHARMACY,Retail,"PLOT 23, BLOCK C, MAMPONTENG",KWABERE EAST,Ashanti
146,PC/AS/R/0376H,AID INN PHARMACY LTD,Retail,"PLOT 4, BLK D BREMANG BREMANG BREMANG BREMANG",KMA,Ashanti
147,PC/GR/R/0320P,AID-POINT PHARMACY LTD,Retail,"H/NO. 1, GA 542-7055 - EXHIBITION DANSOMAN",AMA,Greater Accra
148,PC/AS/R/00151,AIDCOM LTD,Retail,"PLOT 7, BLOCK D, ASAWASI NORTH ZONGO KUMASI",KMA,Ashanti
149,PC/GR/R/0095F,AIDE CHEMIST LTD,Retail,"H/NO.M600/1 MADINA NEW ROAD NEAR RAWLINGS  CIRCLE
MADINA",LA NKWANTANANG-MADINA,Greater Accra
150,PC/ER/R/0162H,AIDE CHEMIST LTD.,Retail,"H/NO. KKB 89A, KORLE NEAR MACDIC HOTEL KORLE-
KOFORIDUA KOFORIDUA",NEW-JUABENG,Eastern
151,PC/WR/WR/0011M,AIDEN PHARMACY,Wholesale/Retail,STORE 4 GOASO ROAD - BIBIANI,BIBIANI-ANHWIASO BEKWAI,Western
152,PC/GR/WR/0354L,AIRAM PHARMACEUTICALS LIMIT,WD holesale/Retail,PLOT 225 & 227 ATOMIC ROAD - HAATSO,GA EAST,Greater Accra
153,PC/AS/WR/0153N,AJOK-GREEN PHARMACY LTD,Wholesale/Retail,"H/NO. TE 66, BLOCK 2 MAIN STREET - TREDE",ATWIMA KWANWOMA,Ashanti
154,PC/WR/W/0061C,AKAN CHEMIST,Wholesale,"STORE NO. 81/82, NEW ASHANTI ROAD MARKET CIRCLE
TAKORADI",SEKONDI-TAKORADI,Western
155,PC/BA/WR/0060G,AKESEFOUR CHEMISTS LTD.,Wholesale/Retail,"H/NO. BNW 75, BECHEM COURT AREA, COURT AREA SWEDRU",BIRIM SOUTH,Eastern
156,PC/GR/R/0205F,AKOHANS PHARMACY LIMITED,Retail,"H/NO. E 4A, SANTA MARIA - - KWASHIEMAN-ACCRA",GA CENTRAL,Greater Accra
157,PC/AS/WR/00004,AKOMA PHARMACEUTICALS LTD,Wholesale/Retail,OTB 226B NTOMIN ROAD ADUM KUMASI,KMA,Ashanti
158,PC/BA/WR/0013L,AKOPHARMA PHARMACY LTD,Wholesale/Retail,H/NO. DN/77 MAIN STREET - DERMA,TANO SOUTH,Brong Ahafo
159,PC/GR/R/0009J,AKORLI PHARMACY,Retail,WHITE HOUSE - TEIMAN OYARIFA,LA NKWANTANANG-MADINA,Greater Accra
160,PC/AS/WR/0143B,AKOSAC PHARMACY LTD,Wholesale/Retail,H/NO. 24 ABOM STATION Abom OBUASI,OBUASI,Ashanti
161,PC/GR/R/00822,AKPABE PHARMACY,Retail,OFF ECOMOG ROAD NEAR SALEM PRESBY CHURCH - HAATSO,GA EAST,Greater Accra
162,PC/GR/R/0619L,AKROPHARMA LIMITED,Retail,GE-217-7170 KUMBAYA STREET - AYI-MENSAH,ADENTAN,Greater Accra
163,PC/GR/R/0075L,AKS PHARMA,Retail,H/NO. CFC 001 NSAWAM ROAD - DOME,GA EAST,Greater Accra
164,PC/GR/WR/0201J,AKTIVE PLUS HEALTHCARE LIMITE,Wholesale/Retail,"POSTAL LODE GD 161 92 BOUNDARY ROAD AMERICAN
HOUSE EAST LEGON",GA EAST,Greater Accra
165,PC/ER/R/0085P,AKWAABA MEDI-LINE PHARMACY,LRTeDtail,H/NO. 219 R 40 TRINITY STREET BRIGADE CITY SOMANYA,YILOKROBO,Eastern
166,PC/ER/WR/0191H,AKWAABA PHARMACY LTD.,Wholesale/Retail,"H/NO. Z21A,  KUBEASE STREET OLD TAFO KUKURANTUMI",EAST AKIM,Eastern
167,PC/AS/R/00071,AL-ADIL PHARMACY LIMITED,Retail,"BLOCK A 032, ATANTA ROAD, KUMASI KUMASI",KMA,Ashanti
168,PC/BA/R/0169P,AL-SHIFAN PHARMACY LTD,Retail,H/NO. TL 0010 NANA KORSAH KORE STREET - TECHIMAN,TECHIMAN,Brong Ahafo
